artifact_id,artifact_name,need,treatment,predecessor_id,predecessor_name,dependency_type,dependency_strength,input_status,notes
DEV-01,Prototype Build Brief,Essential,Create,INT-01,Accepted request brief,Precedes,Hard,Available,Defines features and acceptance scenarios; validates AL-01 spike
DEV-01,Prototype Build Brief,Essential,Create,DEC-01,Platform decision record (BA-09),Precedes,Hard,Available,D-01 decided 13-Aug-2026 WordPress O-03
DEV-01,Prototype Build Brief,Essential,Create,LOG-D,Decision log (D-02),Depends,Soft,Partial,Access mechanism pending; build brief uses provisional access design
DEV-03,Software Architecture Description,Essential,Create later,DEV-01,Prototype Build Brief,Depends,Hard,Available,Architecture follows from delivery definition
DEV-03,Software Architecture Description,Essential,Create later,DEC-01,Platform decision record (BA-09),Depends,Hard,Available,Stack and hosting choice from D-01
DEV-05,Data Model and Database Design,Essential,Create later,DEV-03,Software Architecture Description,Depends,Hard,Available,Content model follows from architecture
DEV-05,Data Model and Database Design,Essential,Create later,LOG-B,Backlog,References,Soft,Available,Feature set and materials structure from backlog
DEV-02,User Experience and Interface Design,Optional,Create later,DEV-01,Prototype Build Brief,Depends,Soft,Available,Theme and UX decisions follow build brief
DEV-02,User Experience and Interface Design,Optional,Create later,DEV-03,Software Architecture Description,Depends,Soft,Available,Architecture informs theme and layout choice
DEV-06,Security and Privacy Design,Essential,Create later,DEV-03,Software Architecture Description,Depends,Hard,Available,Security design follows architecture
DEV-06,Security and Privacy Design,Essential,Create later,LOG-D,Decision log (D-02),Depends,Hard,Partial,Access mechanism decides access-control section
DEV-06,Security and Privacy Design,Essential,Create later,LOG-R,Risk register,References,Soft,Available,R-03 R-04 R-08 R-09 inform controls
DEV-06,Security and Privacy Design,Essential,Create later,LOG-B,Backlog (BL-15),References,Soft,Available,Privacy rules confirmation feeds email data handling
DEV-07,Deployment and Runtime Operations Plan,Essential,Create later,DEV-03,Software Architecture Description,Depends,Hard,Available,Ops plan follows architecture
DEV-07,Deployment and Runtime Operations Plan,Essential,Create later,LOG-D,Decision log (D-05),Depends,Hard,Partial,Server/domain readiness gates provisioning detail
DEV-07,Deployment and Runtime Operations Plan,Essential,Create later,DEV-06,Security and Privacy Design,Depends,Soft,Available,Backup and access controls feed ops plan
DEV-08,Test Strategy and Plan,Essential,Create later,DEV-01,Prototype Build Brief,Depends,Hard,Available,Test plan follows acceptance scenarios
DEV-08,Test Strategy and Plan,Essential,Create later,DEV-05,Data Model and Database Design,Depends,Soft,Available,Data test scenarios follow data model
DEV-08,Test Strategy and Plan,Essential,Create later,DEV-06,Security and Privacy Design,Depends,Soft,Available,Security and access tests follow security design
BA-15,Transition Planning Information,Essential,Create later,LOG-D,Decision log (D-07),Depends,Soft,Available,Migration decision sets transition scope
BA-15,Transition Planning Information,Essential,Create later,LOG-B,Backlog (BL-17 BL-18),References,Soft,Available,Decommission and migration items carried in backlog
PM-11,Closure Report,Essential,Create later,LOG-D,Decision log (DEP-07 final OK),Depends,Soft,Available,Final acceptance recorded before closure
PM-11,Closure Report,Essential,Create later,DEV-08,Test Strategy and Plan,Depends,Soft,Available,Test evidence feeds closure outcomes
PM-11,Closure Report,Essential,Create later,BA-15,Transition Planning Information,Depends,Soft,Available,Transition outcome feeds closure
CYCLE-VALIDATION,Result: PASS,,,None,None,None,None,Not applicable,No Hard-dependency cycles. All Hard dependencies reach a starting point (DEV-01 from existing accepted records). Soft/Conditional dependencies acyclic; no flags for human review
