artifact_id,artifact_name,need,treatment,predecessor_id,predecessor_name,dependency_type,dependency_strength,input_status,notes
PM-08,Decision log,Essential,Update,,,None,,Available,Records PM assignment and D-01..08 outcomes as they occur; no dependencies
PM-48,Backlog,Essential,Update,,,None,,Available,Add per-feature acceptance criteria; input from accepted request brief
PM-45,Assumption log,Essential,Update,,,None,,Available,PM validation of AL-01..07
PM-44,Risk register,Essential,Update,PM-45,Assumption log,Depends,Soft,Partial,Validation of R-01..07; assumptions inform risk validation; also references issues log
PM-15,Issue log,Essential,Update,,,None,,Available,PM validation of ISS-01..07
REG-DEP,Dependencies log,Essential,Update,,,None,,Available,PM validation of DEP-01..07
PM-31,Milestone list,Essential,Create later,PM-08,Decision log,Depends,Hard,Missing,Trigger D-01 resolved; build dates unknown until platform choice
R7,Verification and acceptance record,Essential,Create later,PM-48,Backlog,Depends,Hard,Partial,Acceptance criteria from backlog; test results future; includes PM-24/25/52/55, BA-25/27/28/29, DEV-08
R8,Transition and closure record,Essential,Create later,R7,Verification and acceptance record,Depends,Soft,Missing,Acceptance feeds closure; maintenance owner D-03; includes PM-11, BA-15/34
DEV-02,UX and Interface Design,Essential,Create later,PM-48,Backlog,Depends,Conditional,Partial,Trigger D-01; portal pages known regardless of platform
DEV-03,Software Architecture Description,Essential,Create later,DEV-02,UX and Interface Design,Depends,Conditional,Missing,Trigger D-01; stack depends on platform choice
DEV-04,API and Integration Specification,Essential,Create later,DEV-03,Software Architecture Description,Depends,Conditional,Missing,Conditional on integrations (YouTube embed, SSO) per platform
DEV-05,Data Model and Database Design,Essential,Create later,DEV-03,Software Architecture Description,Depends,Conditional,Missing,Conditional on custom build path
DEV-06,Security and Privacy Design,Essential,Create later,PM-08,Decision log,Depends,Conditional,Partial,Trigger D-01 + D-02; participant email handling; references PM-44 R-04
DEV-07,Deployment and Runtime Operations Plan,Essential,Create later,DEV-03,Software Architecture Description,Depends,Conditional,Missing,Trigger D-01; production ops needs; reference DOC-08 when it exists
DEV-08,Test Strategy and Plan,Essential,Create later,PM-48,Backlog,Depends,Conditional,Partial,Combines with R7; acceptance criteria from backlog
DEV-09,Architecture Decision Records,Essential,Create later,DEV-03,Software Architecture Description,Depends,Conditional,Missing,Records D-01 choice and technical decisions during build
DEV-10,Repository and Development Guide,Essential,Create later,PM-08,Decision log,Depends,Conditional,Missing,Conditional on custom code path
DEV-01,Prototype Build Brief,Essential,Create later,PM-08,Decision log,Depends,Conditional,Missing,Trigger D-01 custom-code shortlist; validates AL-01 with spike
CYCLE_VALIDATION,PASS,,,,,,,No hard-dependency cycles; hard chains: PM-08->PM-31, PM-48->R7; all hard dependencies have reachable starting points (PM-08, PM-48 available now)
